hero_id,base_health,base_health_regen,base_mana,base_mana_regen,base_magic_resistance,base_attack_min,base_attack_max,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,attack_range,projectile_speed,attack_rate,move_speed,turn_rate
1,200,1.5,75,0.9,25,27,31,22,22,12,1.3,2.8,1.8,150,0,1.45,310,0.5
2,200,4.25,75,0.9,25,24,28,25,20,18,2.8,2.2,1.6,150,900,1.7,290,0.6
3,200,1.5,75,0.9,25,37,43,23,23,23,2.4,2.4,2.4,400,900,1.7,310,0.6
4,200,1.5,75,0.9,25,33,39,23,24,18,2.7,3,1.7,150,900,1.7,285,0.5
5,200,1.5,75,0.9,25,19,25,16,16,16,2,1.6,2.9,600,900,1.7,275,0.5
6,200,1.5,75,0.9,25,14,25,17,26,15,1.9,1.9,1.4,625,1250,1.7,285,0.7
7,200,2,75,0.9,25,24,34,22,12,16,3.2,1.4,1.8,150,0,1.7,310,0.9
8,200,2,75,0.9,25,22,26,20,26,14,2.2,2.4,1.4,150,0,1.4,295,0.6
9,200,1.5,75,0.9,25,21,32,17,18,17,2.15,3.2,1.65,630,900,1.7,295,0.5
10,200,1.5,75,0.9,25,9,18,19,24,13,2.3,3.7,1.1,350,1300,1.5,280,0.6
11,200,1.75,75,0.9,25,15,21,15,20,18,2.3,2.9,2,500,1200,1.7,310,1
12,200,3,75,0.9,25,22,44,21,29,21,2,2.8,2,150,900,1.7,285,0.6
13,200,1.5,75,0.9,25,28,39,15,22,25,2,1.7,2.4,550,900,1.7,295,0.5
14,200,1.5,75,0.9,25,27,33,25,14,14,3.5,1.5,1.5,150,0,1.7,280,0.7
15,200,1.5,75,0.9,25,23,25,21,22,21,2.6,1.8,1.8,475,2000,1.7,285,0.5
16,200,1.5,75,0.9,25,25,41,22,19,16,2.9,2.1,1.8,150,900,1.7,295,0.5
17,200,1.5,75,0.9,25,22,32,19,22,24,1.8,1.5,3,480,1100,1.7,285,0.8
18,200,1.5,75,0.9,25,41,43,23,21,16,3,2,1.3,150,0,1.8,290,0.6
19,200,2.5,75,0.9,25,44,50,30,0,17,3.3,0,1.6,150,900,1.7,285,0.5
20,200,1.5,75,0.9,25,12,20,18,27,13,2.9,3.3,1.5,400,1500,1.7,295,0.6
21,200,1.5,75,0.9,25,22,34,15,17,22,2.8,1.4,2.6,600,1250,1.5,295,0.8
22,200,1.5,75,0.9,25,21,29,19,11,22,2.6,1.2,2.7,350,1100,1.7,300,0.6
23,200,1.5,75,0.9,25,26,36,24,14,18,3.3,1.3,1.5,150,900,1.7,300,0.6
25,200,1.5,75,0.9,25,13,31,18,16,27,1.8,1.5,3.2,670,1000,1.6,295,0.5
26,200,1.5,75,0.9,25,27,33,16,15,20,2,1.5,3,600,900,1.7,290,0.5
27,200,1.5,75,0.9,25,50,57,21,16,21,2.1,1.6,3,400,900,1.7,285,0.5
28,200,1.5,75,0.9,25,30,38,21,17,15,3.1,2.4,1.5,150,0,1.7,290,0.5
29,200,1.5,75,0.9,25,25,31,22,15,16,3.3,1.5,1.7,150,900,1.7,305,0.5
30,200,1.5,75,0.9,25,27,37,16,13,24,2.1,1.4,2.9,600,1200,1.7,305,0.5
31,200,1.5,75,0.9,25,24,33,18,15,18,1.85,2,3.25,550,900,1.7,315,0.5
32,200,1.5,75,0.9,25,4,8,17,30,14,1.9,2.2,1.3,150,900,1.7,275,0.6
33,200,1.5,75,0.9,25,22,28,17,14,20,2.4,1,3.4,500,900,1.7,300,0.5
34,200,1.5,75,0.9,25,22,28,17,13,30,2.3,1.2,2.2,500,900,1.7,305,0.6
35,200,1.5,75,0.9,25,15,21,16,21,15,1.7,2.7,2.6,550,3000,1.7,285,0.7
36,200,1.5,75,0.9,25,22,26,16,15,22,2.3,1.2,2.5,550,900,1.7,285,0.5
37,200,1.5,75,0.9,25,22,32,22,10,24,2.8,1,2.7,600,1200,1.7,295,0.5
38,200,1.5,75,0.9,25,41,45,23,18,16,2.5,1.6,1.9,150,0,1.7,310,0.5
39,200,1.5,75,0.9,25,21,29,16,18,24,2,2,2.5,550,1500,1.5,295,0.5
40,200,1.5,75,0.9,25,16,18,18,22,17,1.9,2.8,1.8,450,900,1.7,275,0.5
41,200,2,75,0.9,25,33,39,23,23,15,2.1,2.8,1.5,150,900,1.7,295,1
42,200,1.5,75,0.9,25,39,41,22,18,18,2.8,1.7,1.6,150,0,1.7,300,0.5
43,200,2,75,0.9,25,24,36,17,14,23,2.6,1.4,3,600,1000,1.7,310,0.5
44,200,1.5,75,0.9,25,23,25,20,23,15,2.15,3.15,1.4,150,900,1.7,305,0.6
45,200,1.5,75,0.9,25,19,27,17,16,26,1.5,1,4.5,630,900,1.7,335,0.5
46,200,1.5,75,0.9,25,30,36,18,23,20,2.4,2.3,2,140,900,1.7,300,0.7
47,200,1.5,75,0.9,25,23,25,20,21,15,2.4,2.9,1.8,575,1200,1.7,275,0.5
48,200,1.5,75,0.9,25,20,26,15,18,16,2.2,3.3,1.85,330,900,1.7,330,0.6
49,200,1.5,75,0.9,25,31,37,19,19,15,3.1,2.2,1.7,150,900,1.7,290,0.6
50,200,1.5,75,0.9,25,14,32,16,21,27,2.15,1.7,3.4,550,1200,1.7,305,0.6
51,200,1.5,75,0.9,25,28,30,26,13,17,3.2,2.3,1.3,150,900,1.7,315,0.6
52,200,1.5,75,0.9,25,15,19,16,23,26,1.8,1.7,3,600,900,1.7,325,0.5
53,200,1.5,75,0.9,25,30,44,19,18,25,2.1,1.9,2.9,600,1125,1.7,290,0.6
54,200,1.5,75,0.9,25,27,37,25,18,15,3.1,1.9,1.75,150,900,1.85,315,1
55,200,1.5,75,0.9,25,31,37,22,12,23,2.6,1.2,2.7,150,900,1.7,295,0.6
56,200,1.5,75,0.9,25,15,21,15,22,16,1.9,2.6,1.55,640,900,1.7,295,0.5
57,200,1.5,75,0.9,25,31,41,22,15,15,3.1,1.75,1.8,150,900,1.7,305,0.6
58,200,1.5,75,0.9,25,31,41,16,19,21,1.3,1.8,3.1,550,900,1.7,340,0.5
59,200,1.5,75,0.9,25,21,30,21,15,18,2.7,1.4,1.5,400,1400,1.6,295,0.5
60,200,3.25,75,0.9,25,38,42,23,18,13,3.1,2.25,1.6,150,900,1.7,295,0.5
61,200,1.5,75,0.9,25,26,32,17,18,18,2.8,2.2,2,150,900,1.7,270,0.5
62,200,2,75,0.9,25,24,38,17,21,19,2.1,3,2,150,900,1.7,315,0.6
63,200,1.5,75,0.9,25,36,46,15,14,15,1.8,2.8,1.8,425,900,1.8,280,0.5
64,200,1.5,75,0.9,25,25,33,25,10,28,2.6,1.2,2.8,400,1100,1.7,290,0.5
65,200,3.25,75,0.9,25,14,18,23,15,24,2.7,1.5,2.5,375,900,1.7,290,1
66,200,1.5,75,0.9,25,22,32,23,15,21,1.8,2.1,2.8,650,1100,1.7,300,0.6
67,200,1.5,75,0.9,25,23,27,20,23,16,2.3,1.8,1.9,150,900,1.7,285,0.5
68,200,1.5,75,0.9,25,19,29,18,20,25,1.7,2.2,2.6,675,1250,1.7,295,0.6
69,200,1.5,75,0.9,25,27,43,26,11,13,3.5,0.9,2.1,150,900,2,290,0.5
70,200,2,75,0.9,25,24,28,23,18,16,3,2.1,1.5,150,900,1.7,305,0.5
71,200,1,75,0.9,25,31,41,29,17,14,2.7,1.7,1.8,150,900,1.9,285,0.5
72,200,1.5,75,0.9,25,13,23,18,24,19,2.1,2.8,2.1,365,3000,1.7,320,0.6
73,200,1.5,75,0.9,25,24,33,25,16,25,2.1,1.2,1.8,150,900,1.7,295,0.6
74,200,1.5,75,0.9,25,19,25,16,14,16,2.2,1.9,4,600,900,1.7,280,0.5
75,200,1.5,75,0.9,25,16,30,17,22,27,2.5,3,2.5,600,1000,1.7,295,0.6
76,200,1.5,75,0.9,25,14,29,19,24,26,2.6,2,2.7,450,900,1.7,315,0.5
77,200,1.5,75,0.9,25,36,41,25,16,17,3.3,1,1.55,150,900,1.7,305,0.5
78,200,2,75,0.9,25,29,36,23,22,14,3.2,1.95,1.25,150,900,1.7,300,0.6
79,200,1.5,75,0.9,25,27,31,21,18,23,2.2,2.2,2.7,500,900,1.7,295,0.6
80,200,1.75,75,0.9,25,18,22,17,24,13,2.4,2.7,1.4,550,900,1.7,320,0.5
81,200,1.5,75,0.9,25,29,59,22,14,16,3.2,2.1,1.2,150,900,1.7,325,0.5
82,200,1.5,75,0.9,25,20,26,23,23,20,1.6,2.2,1.6,150,900,1.7,310,0.65
83,200,1.5,75,0.9,25,62,70,25,15,17,3.6,2,1.8,150,900,1.9,270,0.5
84,200,4.75,75,0.9,25,41,47,23,14,17,3.5,1.55,2,150,900,1.7,285,0.6
85,200,1.5,75,0.9,25,35,43,22,10,27,2.4,0.8,2.8,150,900,1.7,310,0.6
86,200,1.5,75,0.9,25,17,27,19,14,27,1.8,1.6,2.4,550,1125,1.7,290,0.7
87,200,1.5,75,0.9,25,27,31,19,15,22,2.2,1.4,2.5,600,1200,1.7,300,0.5
88,200,4.75,75,0.9,25,27,31,18,19,18,2.3,2.2,2.1,150,900,1.7,295,0.5
89,200,3,75,0.9,25,23,25,21,21,21,2.8,3.2,2,150,900,1.7,315,0.5
90,200,1.5,75,0.9,25,18,25,14,15,25,2.1,1.6,2.8,600,900,1.7,335,0.5
91,200,1.5,75,0.9,25,26,35,17,14,23,2.2,1.6,1.7,575,1200,1.7,295,0.7
92,200,1.5,75,0.9,10,21,31,22,11,24,2.7,1.3,2.5,600,900,1.7,285,0.5
93,200,1.5,75,0.9,25,33,41,20,21,16,1.9,1.5,1.7,150,0,1.7,295,0.5
94,200,1.5,75,0.9,25,24,30,14,20,19,1.5,2.5,2.1,600,1200,1.7,285,0.5
95,200,1.5,75,0.9,25,17,35,20,21,13,2.5,2.5,1,500,1200,1.7,295,0.5
96,200,1.5,75,0.9,25,32,34,23,15,15,4.3,1,1.6,150,900,1.7,300,0.5
97,200,2,75,0.9,25,32,44,21,15,19,3.2,2.5,1.65,150,900,1.8,310,0.8
98,200,1.5,75,0.9,25,26,30,21,16,21,2.1,1.3,2.4,150,900,1.7,290,0.6
99,200,1.5,75,0.9,25,22,32,22,17,14,2.2,1.8,2.8,150,900,1.8,290,1
100,200,1.5,75,0.9,25,27,31,23,23,18,3,2.1,1.7,150,900,1.7,300,0.7
101,200,1.5,75,0.9,25,12,22,19,13,27,1.8,0.8,3.6,600,1000,1.7,330,0.5
102,200,1.5,75,0.9,25,32,42,23,17,21,2.6,1.5,2,150,900,1.7,310,0.5
103,200,1.5,75,0.9,25,23,33,24,14,23,2.6,1.8,1.6,150,900,1.7,315,0.5
104,200,1.5,75,0.9,25,35,39,26,18,20,2.9,1.7,2.2,150,900,1.7,320,0.5
105,200,1.5,75,0.9,25,7,9,17,14,22,2.3,1.3,2.9,700,900,1.7,270,0.5
106,200,2,75,0.9,25,30,34,19,22,20,2.1,1.8,1.8,150,900,1.7,305,0.5
107,200,1.5,75,0.9,25,25,35,21,17,18,3.2,1.5,2.1,150,900,1.7,290,0.6
108,200,1.5,75,0.9,25,37,43,25,12,17,2.9,1.3,2.6,150,900,1.7,290,0.6
109,200,3.25,75,0.9,25,26,32,15,22,19,1.7,3.2,1.6,150,900,1.5,310,0.5
110,200,1.5,75,0.9,25,26,36,19,12,18,3.2,1.3,1.8,500,1100,1.7,285,1
111,200,1.5,75,0.9,25,16,22,18,15,23,2.2,1.7,2.9,620,900,1.4,305,0.5
112,200,1.5,75,0.9,25,10,17,24,16,25,2.4,1.9,3.1,425,700,1.7,285,0.5
113,200,1.5,75,0.9,25,29,39,24,15,24,3,1.8,2.6,625,900,1.7,280,0.6
114,200,3,75,0.9,25,27,33,18,22,20,2.8,3.2,1.8,300,900,1.7,300,0.6
119,200,1.5,75,0.9,25,25,33,18,18,20,1.8,1.6,3,475,1200,1.3,295,0.7
120,200,1.5,75,0.9,25,29,35,16,18,16,2.5,2.8,1.9,150,900,1.7,305,1
